a,s(a)
-500.0,1.0
-499.0,1.0
-498.0,1.0
-497.0,1.0
-496.0,1.0
-495.0,1.0
-494.0,1.0
-493.0,1.0
-492.0,1.0
-491.0,1.0
-490.0,1.0
-489.0,1.0
-488.0,1.0
-487.0,1.0
-486.0,1.0
-485.0,1.0
-484.0,1.0
-483.0,1.0
-482.0,1.0
-481.0,1.0
-480.0,1.0
-479.0,1.0
-478.0,1.0
-477.0,1.0
-476.0,1.0
-475.0,1.0
-474.0,1.0
-473.0,1.0
-472.0,1.0
-471.0,1.0
-470.0,1.0
-469.0,1.0
-468.0,1.0
-467.0,1.0
-466.0,1.0
-465.0,1.0
-464.0,1.0
-463.0,1.0
-462.0,1.0
-461.0,1.0
-460.0,1.0
-459.0,1.0
-458.0,1.0
-457.0,1.0
-456.0,1.0
-455.0,1.0
-454.0,1.0
-453.0,1.0
-452.0,1.0
-451.0,1.0
-450.0,1.0
-449.0,1.0
-448.0,1.0
-447.0,1.0
-446.0,1.0
-445.0,1.0
-444.0,1.0
-443.0,1.0
-442.0,1.0
-441.0,1.0
-440.0,1.0
-439.0,1.0
-438.0,1.0
-437.0,1.0
-436.0,1.0
-435.0,1.0
-434.0,1.0
-433.0,1.0
-432.0,1.0
-431.0,1.0
-430.0,1.0
-429.0,1.0
-428.0,1.0
-427.0,1.0
-426.0,1.0
-425.0,1.0
-424.0,1.0
-423.0,1.0
-422.0,1.0
-421.0,1.0
-420.0,1.0
-419.0,1.0
-418.0,2.0
-417.0,2.0
-416.0,2.0
-415.0,2.0
-414.0,2.0
-413.0,2.0
-412.0,2.0
-411.0,2.0
-410.0,2.0
-409.0,2.0
-408.0,2.0
-407.0,2.0
-406.0,2.0
-405.0,2.0
-404.0,2.0
-403.0,2.0
-402.0,2.0
-401.0,2.0
-400.0,2.0
-399.0,2.0
-398.0,2.0
-397.0,2.0
-396.0,2.0
-395.0,2.0
-394.0,2.0
-393.0,2.0
-392.0,2.0
-391.0,2.0
-390.0,2.0
-389.0,2.0
-388.0,2.0
-387.0,2.0
-386.0,2.0
-385.0,2.0
-384.0,2.0
-383.0,2.0
-382.0,2.0
-381.0,2.0
-380.0,2.0
-379.0,2.0
-378.0,2.0
-377.0,2.0
-376.0,2.0
-375.0,2.0
-374.0,2.0
-373.0,2.0
-372.0,2.0
-371.0,2.0
-370.0,2.0
-369.0,2.0
-368.0,2.0
-367.0,2.0
-366.0,3.0
-365.0,3.0
-364.0,3.0
-363.0,3.0
-362.0,3.0
-361.0,3.0
-360.0,3.0
-359.0,3.0
-358.0,3.0
-357.0,3.0
-356.0,3.0
-355.0,3.0
-354.0,3.0
-353.0,3.0
-352.0,3.0
-351.0,3.0
-350.0,3.0
-349.0,3.0
-348.0,3.0
-347.0,3.0
-346.0,3.0
-345.0,3.0
-344.0,3.0
-343.0,3.0
-342.0,3.0
-341.0,3.0
-340.0,3.0
-339.0,3.0
-338.0,3.0
-337.0,3.0
-336.0,3.0
-335.0,3.0
-334.0,3.0
-333.0,3.0
-332.0,3.0
-331.0,4.0
-330.0,4.0
-329.0,4.0
-328.0,4.0
-327.0,4.0
-326.0,4.0
-325.0,4.0
-324.0,4.0
-323.0,4.0
-322.0,4.0
-321.0,4.0
-320.0,4.0
-319.0,4.0
-318.0,4.0
-317.0,4.0
-316.0,4.0
-315.0,4.0
-314.0,4.0
-313.0,4.0
-312.0,4.0
-311.0,4.0
-310.0,4.0
-309.0,4.0
-308.0,4.0
-307.0,4.0
-306.0,4.0
-305.0,5.0
-304.0,5.0
-303.0,5.0
-302.0,5.0
-301.0,5.0
-300.0,5.0
-299.0,5.0
-298.0,5.0
-297.0,5.0
-296.0,5.0
-295.0,5.0
-294.0,5.0
-293.0,5.0
-292.0,5.0
-291.0,5.0
-290.0,5.0
-289.0,5.0
-288.0,5.0
-287.0,5.0
-286.0,5.0
-285.0,5.0
-284.0,6.0
-283.0,6.0
-282.0,6.0
-281.0,6.0
-280.0,6.0
-279.0,6.0
-278.0,6.0
-277.0,6.0
-276.0,6.0
-275.0,6.0
-274.0,6.0
-273.0,6.0
-272.0,6.0
-271.0,6.0
-270.0,6.0
-269.0,6.0
-268.0,6.0
-267.0,6.0
-266.0,7.0
-265.0,7.0
-264.0,7.0
-263.0,7.0
-262.0,7.0
-261.0,7.0
-260.0,7.0
-259.0,7.0
-258.0,7.0
-257.0,7.0
-256.0,7.0
-255.0,7.0
-254.0,7.0
-253.0,7.0
-252.0,7.0
-251.0,8.0
-250.0,8.0
-249.0,8.0
-248.0,8.0
-247.0,8.0
-246.0,8.0
-245.0,8.0
-244.0,8.0
-243.0,8.0
-242.0,8.0
-241.0,8.0
-240.0,8.0
-239.0,8.0
-238.0,8.0
-237.0,9.0
-236.0,9.0
-235.0,9.0
-234.0,9.0
-233.0,9.0
-232.0,9.0
-231.0,9.0
-230.0,9.0
-229.0,9.0
-228.0,9.0
-227.0,9.0
-226.0,9.0
-225.0,10.0
-224.0,10.0
-223.0,10.0
-222.0,10.0
-221.0,10.0
-220.0,10.0
-219.0,10.0
-218.0,10.0
-217.0,10.0
-216.0,10.0
-215.0,10.0
-214.0,11.0
-213.0,11.0
-212.0,11.0
-211.0,11.0
-210.0,11.0
-209.0,11.0
-208.0,11.0
-207.0,11.0
-206.0,11.0
-205.0,11.0
-204.0,12.0
-203.0,12.0
-202.0,12.0
-201.0,12.0
-200.0,12.0
-199.0,12.0
-198.0,12.0
-197.0,12.0
-196.0,12.0
-195.0,12.0
-194.0,13.0
-193.0,13.0
-192.0,13.0
-191.0,13.0
-190.0,13.0
-189.0,13.0
-188.0,13.0
-187.0,13.0
-186.0,13.0
-185.0,14.0
-184.0,14.0
-183.0,14.0
-182.0,14.0
-181.0,14.0
-180.0,14.0
-179.0,14.0
-178.0,14.0
-177.0,15.0
-176.0,15.0
-175.0,15.0
-174.0,15.0
-173.0,15.0
-172.0,15.0
-171.0,15.0
-170.0,15.0
-169.0,16.0
-168.0,16.0
-167.0,16.0
-166.0,16.0
-165.0,16.0
-164.0,16.0
-163.0,16.0
-162.0,17.0
-161.0,17.0
-160.0,17.0
-159.0,17.0
-158.0,17.0
-157.0,17.0
-156.0,17.0
-155.0,18.0
-154.0,18.0
-153.0,18.0
-152.0,18.0
-151.0,18.0
-150.0,18.0
-149.0,18.0
-148.0,19.0
-147.0,19.0
-146.0,19.0
-145.0,19.0
-144.0,19.0
-143.0,19.0
-142.0,19.0
-141.0,20.0
-140.0,20.0
-139.0,20.0
-138.0,20.0
-137.0,20.0
-136.0,20.0
-135.0,21.0
-134.0,21.0
-133.0,21.0
-132.0,21.0
-131.0,21.0
-130.0,21.0
-129.0,22.0
-128.0,22.0
-127.0,22.0
-126.0,22.0
-125.0,22.0
-124.0,22.0
-123.0,23.0
-122.0,23.0
-121.0,23.0
-120.0,23.0
-119.0,23.0
-118.0,24.0
-117.0,24.0
-116.0,24.0
-115.0,24.0
-114.0,24.0
-113.0,24.0
-112.0,25.0
-111.0,25.0
-110.0,25.0
-109.0,25.0
-108.0,25.0
-107.0,26.0
-106.0,26.0
-105.0,26.0
-104.0,26.0
-103.0,26.0
-102.0,27.0
-101.0,27.0
-100.0,27.0
-99.0,27.0
-98.0,27.0
-97.0,27.0
-96.0,28.0
-95.0,28.0
-94.0,28.0
-93.0,28.0
-92.0,28.0
-91.0,29.0
-90.0,29.0
-89.0,29.0
-88.0,29.0
-87.0,30.0
-86.0,30.0
-85.0,30.0
-84.0,30.0
-83.0,30.0
-82.0,31.0
-81.0,31.0
-80.0,31.0
-79.0,31.0
-78.0,31.0
-77.0,32.0
-76.0,32.0
-75.0,32.0
-74.0,32.0
-73.0,33.0
-72.0,33.0
-71.0,33.0
-70.0,33.0
-69.0,33.0
-68.0,34.0
-67.0,34.0
-66.0,34.0
-65.0,34.0
-64.0,35.0
-63.0,35.0
-62.0,35.0
-61.0,35.0
-60.0,35.0
-59.0,36.0
-58.0,36.0
-57.0,36.0
-56.0,36.0
-55.0,37.0
-54.0,37.0
-53.0,37.0
-52.0,37.0
-51.0,38.0
-50.0,38.0
-49.0,38.0
-48.0,38.0
-47.0,38.0
-46.0,39.0
-45.0,39.0
-44.0,39.0
-43.0,39.0
-42.0,40.0
-41.0,40.0
-40.0,40.0
-39.0,40.0
-38.0,41.0
-37.0,41.0
-36.0,41.0
-35.0,41.0
-34.0,42.0
-33.0,42.0
-32.0,42.0
-31.0,42.0
-30.0,43.0
-29.0,43.0
-28.0,43.0
-27.0,43.0
-26.0,44.0
-25.0,44.0
-24.0,44.0
-23.0,44.0
-22.0,45.0
-21.0,45.0
-20.0,45.0
-19.0,45.0
-18.0,46.0
-17.0,46.0
-16.0,46.0
-15.0,46.0
-14.0,47.0
-13.0,47.0
-12.0,47.0
-11.0,47.0
-10.0,48.0
-9.0,48.0
-8.0,48.0
-7.0,48.0
-6.0,49.0
-5.0,49.0
-4.0,49.0
-3.0,49.0
-2.0,50.0
-1.0,50.0
0.0,50.0
1.0,50.0
2.0,50.0
3.0,51.0
4.0,51.0
5.0,51.0
6.0,51.0
7.0,52.0
8.0,52.0
9.0,52.0
10.0,52.0
11.0,53.0
12.0,53.0
13.0,53.0
14.0,53.0
15.0,54.0
16.0,54.0
17.0,54.0
18.0,54.0
19.0,55.0
20.0,55.0
21.0,55.0
22.0,55.0
23.0,56.0
24.0,56.0
25.0,56.0
26.0,56.0
27.0,57.0
28.0,57.0
29.0,57.0
30.0,57.0
31.0,58.0
32.0,58.0
33.0,58.0
34.0,58.0
35.0,59.0
36.0,59.0
37.0,59.0
38.0,59.0
39.0,60.0
40.0,60.0
41.0,60.0
42.0,60.0
43.0,61.0
44.0,61.0
45.0,61.0
46.0,61.0
47.0,62.0
48.0,62.0
49.0,62.0
50.0,62.0
51.0,62.0
52.0,63.0
53.0,63.0
54.0,63.0
55.0,63.0
56.0,64.0
57.0,64.0
58.0,64.0
59.0,64.0
60.0,65.0
61.0,65.0
62.0,65.0
63.0,65.0
64.0,65.0
65.0,66.0
66.0,66.0
67.0,66.0
68.0,66.0
69.0,67.0
70.0,67.0
71.0,67.0
72.0,67.0
73.0,67.0
74.0,68.0
75.0,68.0
76.0,68.0
77.0,68.0
78.0,69.0
79.0,69.0
80.0,69.0
81.0,69.0
82.0,69.0
83.0,70.0
84.0,70.0
85.0,70.0
86.0,70.0
87.0,70.0
88.0,71.0
89.0,71.0
90.0,71.0
91.0,71.0
92.0,72.0
93.0,72.0
94.0,72.0
95.0,72.0
96.0,72.0
97.0,73.0
98.0,73.0
99.0,73.0
100.0,73.0
101.0,73.0
102.0,73.0
103.0,74.0
104.0,74.0
105.0,74.0
106.0,74.0
107.0,74.0
108.0,75.0
109.0,75.0
110.0,75.0
111.0,75.0
112.0,75.0
113.0,76.0
114.0,76.0
115.0,76.0
116.0,76.0
117.0,76.0
118.0,76.0
119.0,77.0
120.0,77.0
121.0,77.0
122.0,77.0
123.0,77.0
124.0,78.0
125.0,78.0
126.0,78.0
127.0,78.0
128.0,78.0
129.0,78.0
130.0,79.0
131.0,79.0
132.0,79.0
133.0,79.0
134.0,79.0
135.0,79.0
136.0,80.0
137.0,80.0
138.0,80.0
139.0,80.0
140.0,80.0
141.0,80.0
142.0,81.0
143.0,81.0
144.0,81.0
145.0,81.0
146.0,81.0
147.0,81.0
148.0,81.0
149.0,82.0
150.0,82.0
151.0,82.0
152.0,82.0
153.0,82.0
154.0,82.0
155.0,82.0
156.0,83.0
157.0,83.0
158.0,83.0
159.0,83.0
160.0,83.0
161.0,83.0
162.0,83.0
163.0,84.0
164.0,84.0
165.0,84.0
166.0,84.0
167.0,84.0
168.0,84.0
169.0,84.0
170.0,85.0
171.0,85.0
172.0,85.0
173.0,85.0
174.0,85.0
175.0,85.0
176.0,85.0
177.0,85.0
178.0,86.0
179.0,86.0
180.0,86.0
181.0,86.0
182.0,86.0
183.0,86.0
184.0,86.0
185.0,86.0
186.0,87.0
187.0,87.0
188.0,87.0
189.0,87.0
190.0,87.0
191.0,87.0
192.0,87.0
193.0,87.0
194.0,87.0
195.0,88.0
196.0,88.0
197.0,88.0
198.0,88.0
199.0,88.0
200.0,88.0
201.0,88.0
202.0,88.0
203.0,88.0
204.0,88.0
205.0,89.0
206.0,89.0
207.0,89.0
208.0,89.0
209.0,89.0
210.0,89.0
211.0,89.0
212.0,89.0
213.0,89.0
214.0,89.0
215.0,90.0
216.0,90.0
217.0,90.0
218.0,90.0
219.0,90.0
220.0,90.0
221.0,90.0
222.0,90.0
223.0,90.0
224.0,90.0
225.0,90.0
226.0,91.0
227.0,91.0
228.0,91.0
229.0,91.0
230.0,91.0
231.0,91.0
232.0,91.0
233.0,91.0
234.0,91.0
235.0,91.0
236.0,91.0
237.0,91.0
238.0,92.0
239.0,92.0
240.0,92.0
241.0,92.0
242.0,92.0
243.0,92.0
244.0,92.0
245.0,92.0
246.0,92.0
247.0,92.0
248.0,92.0
249.0,92.0
250.0,92.0
251.0,92.0
252.0,93.0
253.0,93.0
254.0,93.0
255.0,93.0
256.0,93.0
257.0,93.0
258.0,93.0
259.0,93.0
260.0,93.0
261.0,93.0
262.0,93.0
263.0,93.0
264.0,93.0
265.0,93.0
266.0,93.0
267.0,94.0
268.0,94.0
269.0,94.0
270.0,94.0
271.0,94.0
272.0,94.0
273.0,94.0
274.0,94.0
275.0,94.0
276.0,94.0
277.0,94.0
278.0,94.0
279.0,94.0
280.0,94.0
281.0,94.0
282.0,94.0
283.0,94.0
284.0,94.0
285.0,95.0
286.0,95.0
287.0,95.0
288.0,95.0
289.0,95.0
290.0,95.0
291.0,95.0
292.0,95.0
293.0,95.0
294.0,95.0
295.0,95.0
296.0,95.0
297.0,95.0
298.0,95.0
299.0,95.0
300.0,95.0
301.0,95.0
302.0,95.0
303.0,95.0
304.0,95.0
305.0,95.0
306.0,96.0
307.0,96.0
308.0,96.0
309.0,96.0
310.0,96.0
311.0,96.0
312.0,96.0
313.0,96.0
314.0,96.0
315.0,96.0
316.0,96.0
317.0,96.0
318.0,96.0
319.0,96.0
320.0,96.0
321.0,96.0
322.0,96.0
323.0,96.0
324.0,96.0
325.0,96.0
326.0,96.0
327.0,96.0
328.0,96.0
329.0,96.0
330.0,96.0
331.0,96.0
332.0,97.0
333.0,97.0
334.0,97.0
335.0,97.0
336.0,97.0
337.0,97.0
338.0,97.0
339.0,97.0
340.0,97.0
341.0,97.0
342.0,97.0
343.0,97.0
344.0,97.0
345.0,97.0
346.0,97.0
347.0,97.0
348.0,97.0
349.0,97.0
350.0,97.0
351.0,97.0
352.0,97.0
353.0,97.0
354.0,97.0
355.0,97.0
356.0,97.0
357.0,97.0
358.0,97.0
359.0,97.0
360.0,97.0
361.0,97.0
362.0,97.0
363.0,97.0
364.0,97.0
365.0,97.0
366.0,97.0
367.0,98.0
368.0,98.0
369.0,98.0
370.0,98.0
371.0,98.0
372.0,98.0
373.0,98.0
374.0,98.0
375.0,98.0
376.0,98.0
377.0,98.0
378.0,98.0
379.0,98.0
380.0,98.0
381.0,98.0
382.0,98.0
383.0,98.0
384.0,98.0
385.0,98.0
386.0,98.0
387.0,98.0
388.0,98.0
389.0,98.0
390.0,98.0
391.0,98.0
392.0,98.0
393.0,98.0
394.0,98.0
395.0,98.0
396.0,98.0
397.0,98.0
398.0,98.0
399.0,98.0
400.0,98.0
401.0,98.0
402.0,98.0
403.0,98.0
404.0,98.0
405.0,98.0
406.0,98.0
407.0,98.0
408.0,98.0
409.0,98.0
410.0,98.0
411.0,98.0
412.0,98.0
413.0,98.0
414.0,98.0
415.0,98.0
416.0,98.0
417.0,98.0
418.0,98.0
419.0,99.0
420.0,99.0
421.0,99.0
422.0,99.0
423.0,99.0
424.0,99.0
425.0,99.0
426.0,99.0
427.0,99.0
428.0,99.0
429.0,99.0
430.0,99.0
431.0,99.0
432.0,99.0
433.0,99.0
434.0,99.0
435.0,99.0
436.0,99.0
437.0,99.0
438.0,99.0
439.0,99.0
440.0,99.0
441.0,99.0
442.0,99.0
443.0,99.0
444.0,99.0
445.0,99.0
446.0,99.0
447.0,99.0
448.0,99.0
449.0,99.0
450.0,99.0
451.0,99.0
452.0,99.0
453.0,99.0
454.0,99.0
455.0,99.0
456.0,99.0
457.0,99.0
458.0,99.0
459.0,99.0
460.0,99.0
461.0,99.0
462.0,99.0
463.0,99.0
464.0,99.0
465.0,99.0
466.0,99.0
467.0,99.0
468.0,99.0
469.0,99.0
470.0,99.0
471.0,99.0
472.0,99.0
473.0,99.0
474.0,99.0
475.0,99.0
476.0,99.0
477.0,99.0
478.0,99.0
479.0,99.0
480.0,99.0
481.0,99.0
482.0,99.0
483.0,99.0
484.0,99.0
485.0,99.0
486.0,99.0
487.0,99.0
488.0,99.0
489.0,99.0
490.0,99.0
491.0,99.0
492.0,99.0
493.0,99.0
494.0,99.0
495.0,99.0
496.0,99.0
497.0,99.0
498.0,99.0
499.0,99.0
500.0,99.0
